iso2,error_density_median_pct,contrast_issue_share,n_sites,desi_ict_spec,digital_context,wass,visual_impairment_female,visual_impairment_male,vi_female_norm,idfdv_raw,idfdv,derviw_raw,derviw,country_name
RO,3.765,0.84,200,112.2,0.0899280575539568,1.0,448832.0,282984.0,0.2274039485676294,0.0,0.0,0.5915043037470342,0.8936763051142547,Romania
HU,3.565,0.765,200,107.8,0.0860200728306243,0.8812222025132429,242623.0,138793.0,0.12104370843711429,0.009114073531277602,0.02885432328393857,0.460243965679813,0.6952404668643692,Hungary
LV,3.805,0.73,200,24.0,0.0115907274180655,0.8787818918389212,73869.0,36134.0,0.03400232826949333,0.0013588035649591467,0.004301847818996408,0.3091070108376554,0.4667556955598827,Latvia
BG,3.75,0.72,200,69.89999999999999,0.0523581135091926,0.8586348126285201,172679.0,106941.0,0.08496739442711108,0.006821969549188576,0.02159773169812012,0.41042614073363254,0.6199272229816761,Bulgaria
HR,3.18,0.785,200,44.2,0.0295319300115463,0.8388648466996195,102841.0,64373.0,0.048945754002905954,0.004536585473087714,0.01436241472009968,0.3415566587630675,0.5158121979413955,Croatia
CZ,2.81,0.715,200,119.55,0.0964561683986144,0.6888398976477383,242366.0,159487.0,0.12091115078098122,0.02677581645120439,0.0847697861360298,0.42219325546335146,0.6377164296038512,Czech Republic
SK,2.44,0.765,200,62.95,0.0461852740030198,0.6707879706205497,113195.0,71065.0,0.054286228600577996,0.014421840454240166,0.045658227946916305,0.3262718860050225,0.4927050908033018,Slovakia
GR,2.34,0.78,200,,0.085176303401723,0.6662251832158583,187055.0,145009.0,0.09238237055383827,0.02602541548509858,0.08239408530431161,0.38327972909447644,0.5788880101591883,Greece
MT,2.93,0.6666666666666666,90,10.95,0.0,0.655908641867256,7946.0,6263.0,0.0,0.0,0.0,0.000868855959537595,0.0007695679566369449,Malta
CY,3.475,0.5706214689265536,177,14.6,0.0032418509636735,0.6412250726767459,19552.0,16134.0,0.005986241856343606,0.001156173708438125,0.003660340224508517,0.15640531834168594,0.2359053960802646,Cyprus
SI,2.73,0.685,200,23.55,0.0111910471622701,0.6383023121231043,49550.0,32448.0,0.021458866637197947,0.00396273997487564,0.012545672353075688,0.2383683165925058,0.3598148458262037,Slovenia
LT,2.92,0.63,200,41.45,0.0270894395594635,0.6115353835024718,106152.0,53396.0,0.0506535298762778,0.010015945742683748,0.03170956822566614,0.3111965266456119,0.46991456919218966,Lithuania
PL,2.08,0.735,200,387.55,0.3344879651834088,0.5538203606382514,891435.0,548307.0,0.45569350606747855,0.10252276255566424,0.32457769016144056,0.5517375690716578,0.8335580283677185,Poland
PT,2.15,0.68,200,133.65,0.1089794830802025,0.5068163086929334,225811.0,156209.0,0.11237227141412198,0.04831737101276682,0.15296837782226488,0.37022506249064663,0.5591523173463518,Portugal
EE,2.4,0.63,200,28.9,0.0159428013145039,0.5056915315270093,34708.0,15221.0,0.013803533048377356,0.007773361843833257,0.02460975269458421,0.19009269490939407,0.2868330632345979,Estonia
IT,1.905,0.72,200,474.7,0.4118927080557775,0.4929378484556669,1946725.0,1358399.0,1.0,0.1044276013760922,0.3306082356622864,0.6618347655141493,1.0,Italy
FR,1.76,0.725,200,699.85,0.6118660627053911,0.460649725439316,1225909.0,854681.0,0.628211363956387,0.2026826100222188,0.6416746072481756,0.48248750873676877,0.7288676552226224,France
LU,2.35,0.595,200,17.0,0.0053734789945821,0.454125626788018,9375.0,7892.0,0.0007370618311834407,0.002931084087930052,0.00927954416379241,0.06930746097497255,0.10423320483936155,Luxembourg
AT,1.78,0.69,200,121.15,0.0978772537525535,0.4254720058899517,166764.0,124476.0,0.08191650518186962,0.05197556558026813,0.1645498872674091,0.31562351097027946,0.47660716467319947,Austria
DE,1.55,0.735,200,1136.85,1.0,0.4133785016800056,1669848.0,1239471.0,0.85719001495271,0.315865093822902,1.0,0.0007076334111677015,0.0005258360571032217,Germany
BE,1.8,0.65,200,146.6,0.1204813926636468,0.3844632803203198,214109.0,159746.0,0.10633651385743295,0.06703269782179247,0.21221939091305891,0.33006091992816095,0.49843325007644174,Belgium
IE,1.33,0.745,200,89.85000000000001,0.0700772715161204,0.357861047251543,72320.0,61638.0,0.03320337181287811,0.04355323160035195,0.1378855481409136,0.2227312528326945,0.33617515465493786,Ireland
ES,1.23,0.7,200,513.65,0.4464872546407318,0.2731037772000405,1493782.0,1345100.0,0.7663771889421125,0.1837375963403634,0.5816964265237256,0.487490287299265,0.7364307208999263,Spain
NL,1.27,0.67,200,345.7,0.2973177013944399,0.2515707959849579,257922.0,206287.0,0.1289347573911209,0.19710727226474248,0.6240235977934802,0.28352830061851536,0.4280864914543244,Netherlands
DK,1.105,0.65,200,91.5,0.0715427657873701,0.1722761621257275,94492.0,82164.0,0.044639435438489895,0.05668716942971374,0.1794663941609733,0.19256111648454882,0.29056475638450496,Denmark
SE,0.84,0.62,200,229.65,0.1942446043165467,0.0374532339369357,135884.0,117803.0,0.06598895490409169,0.17539535925765143,0.555285666848618,0.1258117679713908,0.18965489191303778,Sweden
FI,0.8049999999999999,0.6,200,105.9,0.0843325339728217,0.0,106573.0,80291.0,0.05087067685383429,0.08025015430566773,0.25406464935521517,0.00035980602659825436,0.0,Finland
